Date,Account Creations,Active Users,Active Users Acct Creation On Or After Regwall,Active Users Acct Creation On Regwall,Active Users Purchase On Or After Paywall,Active Users Purchase On Or After Regwall,Basic Subscriber Active Users,Basic Subscriber DAU Per MAU,Basic Subscriber Minutes,Basic Subscriber Page Views,Basic Subscriber Total Users,DAU Per MAU,Digital Subscriber Active Users,Digital Subscriber DAU Per MAU,Digital Subscriber Minutes,Digital Subscriber Page Views,Digital Subscriber Total Users,Event Click Active Users,Event Clicks,Event Registration Click Active Users,Event Registration Clicks,Minutes,New Subscription Finishes,New Subscription Starts,Newsletter Signup Active Users,Newsletter Signups,Newsletter Unsubscribes,Non Registrant Active Users,Non Registrant DAU Per MAU,Non Registrant Minutes,Non Registrant Page Views,Non Registrant Total Users,Page Views,Paywall Active Users,Paywall Conversion Rate,Paywall Views,Print Subscriber Active Users,Print Subscriber DAU Per MAU,Print Subscriber Minutes,Print Subscriber Page Views,Print Subscriber Total Users,Purchase Active Users,Purchases,Registrant Active Users,Registrant DAU Per MAU,Registrant Minutes,Registrant Page Views,Registrant Total Users,Regwall Account Creations,Regwall Active Users,Regwall Conversion Rate,Regwall Purchases,Regwall Views,Site License Active Users,Site License By Domain Active Users,Site License By Domain DAU Per MAU,Site License By Domain Minutes,Site License By Domain Page Views,Site License By Domain Total Users,Site License By IP Active Users,Site License By IP DAU Per MAU,Site License By IP Minutes,Site License By IP Page Views,Site License By IP Total Users,Site License DAU Per MAU,Site License Minutes,Site License Page Views,Site License Total Users,Subscriber Active Users,Subscriber DAU Per MAU,Subscriber Minutes,Subscriber Page Views,Subscriber Total Users,Subscription Renewal Finishes,Subscription Renewal Starts,Total Users
2026-05-15,309,36299,230,229,5,5,143,0.192982456,45964,453,149,0.043942169,1089,0.163415366,274889,2909,1143,29,34,9,11,57926,13,1816,158,217,12,24403,0.036312151,467090,31035,24890,64778,464,0.010775862,645,452,0.166054372,104640,1273,467,15,15,2005,0.062646461,289509,4165,2138,298.0,16561,0.013852918,0.0,19100,10733,5534,0.126662242,1252741,12780,5796,5411,0.040403814,1039747,11820,5754,0.062373602,2292488,24600,11311,1684,0.168114206,425493,4635,1759,3,17,37592
2026-05-14,417,51956,302,300,5,6,191,0.260217984,52189,546,192,0.062982848,1492,0.223453647,411713,4246,1528,83,89,8,12,100073,17,2443,987,1140,37,34143,0.050805465,497150,43288,34634,96078,860,0.005813953,1292,551,0.201241782,132586,1450,567,20,20,3435,0.107323627,520835,7151,3558,407.0,23819,0.012695477,0.0,27621,17402,8818,0.201946639,2407229,20114,9006,8987,0.066062909,1980446,18486,9275,0.099956346,4387675,38600,17907,2234,0.2224878,596488,6242,2287,3,15,53207
2026-05-13,414,45508,286,281,8,5,161,0.223611111,35134,394,164,0.055472531,1517,0.227743582,364481,3925,1552,13,13,5,5,72346,20,2892,76,116,12,29606,0.04440345,470149,36186,30123,79510,614,0.013029316,882,546,0.201327434,110131,1408,559,25,25,2445,0.078362873,383243,5158,2570,395.0,21430,0.013670475,0.0,24178,14457,6884,0.161399231,1506991,15785,7087,7728,0.056791793,1469518,16042,8035,0.083554883,2976509,31827,14977,2224,0.222511256,509746,5727,2275,8,21,46616
2026-05-12,290,46930,215,214,6,5,160,0.223776224,37825,415,162,0.056912028,1253,0.189389359,280245,3592,1303,31,34,7,7,69560,15,2154,48,87,10,30745,0.045822609,642704,39050,31249,83012,461,0.013015184,749,518,0.190721649,108000,1325,539,18,19,2160,0.069578663,284669,4767,2276,284.0,19982,0.010854748,0.0,22776,14822,6777,0.159353837,1393004,15830,6981,8184,0.059751183,1426381,17488,8462,0.085192231,2819385,33318,15292,1931,0.194089858,426070,5332,2004,7,21,48106
2026-05-11,249,35743,180,178,2,2,149,0.207810321,36634,418,153,0.043682409,1220,0.185579556,239631,3202,1262,41,46,3,3,58832,10,2045,41,69,10,21508,0.032057426,473240,28010,21896,65985,328,0.006097561,524,467,0.173348181,84472,1247,486,15,15,1784,0.058078588,227467,3692,1909,236.0,10727,0.016880803,0.0,12825,12714,5751,0.136821069,1124636,13141,5930,7245,0.055001366,1343041,15867,7510,0.075412384,2467677,29008,13123,1836,0.186093655,360737,4867,1901,5,12,36755
2026-05-10,114,11275,82,81,0,2,36,0.05034965,11294,125,37,0.013488891,249,0.038009464,43970,647,276,10,11,1,1,9968,4,918,10,15,1,9075,0.013140214,151887,11295,9365,19150,107,0.0,182,87,0.032378117,12138,199,98,4,4,573,0.018510741,82051,1297,638,112.0,4382,0.018717188,2.0,5263,1697,1091,0.026105475,190240,4179,1188,613,0.004803548,106008,1370,712,0.010326781,296248,5549,1893,372,0.03780872,67402,971,411,0,0,11868
2026-05-09,133,17981,93,93,2,3,36,0.049655172,9614,94,37,0.020776883,364,0.055084746,77820,901,387,8,9,2,2,17425,10,1520,12,21,2,14753,0.020541861,236613,18309,15012,27705,211,0.009478673,321,126,0.046597633,29070,275,133,9,9,1087,0.03450246,170944,2227,1147,132.0,8178,0.01125363,0.0,9693,2734,1933,0.04569956,378773,3994,2047,814,0.006158455,141822,1852,900,0.016174452,520595,5846,2934,525,0.052907387,116504,1270,556,0,4,18523
2026-05-08,213,37951,155,155,7,5,118,0.158602151,28442,281,122,0.043551706,1148,0.172165567,248875,2976,1181,52,57,4,4,56097,16,2042,32,56,6,25595,0.035556019,451020,31865,26046,65825,321,0.021806854,502,479,0.174562682,93057,1331,494,17,17,1692,0.053338377,233075,3577,1821,211.0,14977,0.010299688,1.0,17285,11146,5632,0.13248959,1228108,12816,5840,5631,0.041256374,1082630,12630,5932,0.064171431,2310738,25446,11650,1744,0.173913043,370374,4588,1796,2,8,39011
2026-05-07,341,41009,245,245,1,6,163,0.217914439,43536,425,167,0.046995471,1362,0.202287242,325662,3497,1399,143,151,7,9,70097,13,2696,37,71,11,26089,0.036427077,417338,32983,26540,73151,385,0.002597403,630,547,0.197901592,120609,1575,563,15,17,2233,0.069853286,370655,4903,2379,329.0,17658,0.01385825,1.0,20622,13561,6516,0.153105101,1519827,14466,6754,7212,0.052429175,1407185,14779,7556,0.077514461,2927012,29245,14148,2072,0.205026717,489807,5497,2129,5,10,42155
2026-05-06,426,68928,314,313,4,6,176,0.235609103,47255,477,183,0.079151801,1567,0.232803447,362295,4377,1604,21,26,7,9,86700,22,1769,59,111,13,51673,0.072267403,863232,60430,51936,108148,371,0.010781671,586,561,0.204744526,110664,1409,576,25,26,2666,0.083865488,461922,5654,2800,416.0,43369,0.00720233,0.0,47459,16162,7418,0.175051916,1753047,16731,7603,8997,0.065101774,1602560,18419,9331,0.092089069,3355607,35150,16705,2304,0.228163993,520214,6263,2363,6,19,69974
